Phrases,Risk Level,Keywords
everythings shaking too scared to leave,0,everythings shaking shaking scared
big earthquake stuck indoors,1,earthquake stuck big earthquake
group threatening us were scared,1,group threatening threatening scared
sm1 threatening my group urgent hlp,1,sm1 threatening threatening group
nos amenazan estamos asustados,0,amenazan estamos estamos asustados
gang nearby need police now,2,gang nearby need police
faint smell of gas feels unsafe here,0,smell gas faint smell
gas leak suspected help us,2,gas leak leak suspected
huele a gas puede ser peligroso,0,ser peligroso gas puede
smelling gas not sure what to do,0,smelling gas smelling
boat sinking water coming in fast,0,boat sinking sinking water
sinking boat drowning,0,boat drowning sinking boat
barco hundiéndose rápido ayuda,0,rápido ayuda hundiéndose rápido
emergency our boats going down,2,emergency boats boats going
car stuck on a flooded bridge,1,flooded bridge car stuck
water rising car stranded,1,water rising car stranded
puente inundado estamos atrapados,0,inundado estamos puente inundado
stuck on bridge pls send hlp fast,1,stuck bridge bridge pls
my phones almost dead im lost,1,phones dead phones
battery dying im stuck pls help,2,battery dying battery
teléfono sin batería perdido,0,batería perdido teléfono sin
lost no phone batt need hlp fast,1,phone batt lost phone
tourist scammed me im stranded now,1,tourist scammed scammed im
scammed by locals need police hlp,2,scammed locals police hlp
me estafaron estoy sin dinero,0,sin dinero estafaron estoy
urgent help tourist guide scammed me,2,guide scammed tourist guide
i lost my wallet and my id is missing,1,lost wallet wallet id
my phone was stolen and i need help contacting someone,2,phone stolen stolen need
i am stranded on a deserted road with no help in sight,2,stranded deserted deserted road
i need urgent medical assistance i think i broke my leg,0,broke leg medical assistance
my friend fainted and is not responding we need a doctor,0,friend fainted fainted responding
there is a fire in the building and i cannot find a way out,2,building building way
i feel unsafe someone has been following me for a while,0,unsafe following feel unsafe
i got separated from my group and i am completely lost,1,separated group got separated
my bag with all my belongings was snatched i need help,2,belongings snatched bag belongings
i am in severe pain and cannot walk please send help,2,pain walk walk
my child is missing and i cannot find them anywhere,0,child missing missing
i am trapped in an elevator and cannot get out,0,trapped elevator elevator
there is flooding here and i am stuck on the roof,1,stuck roof flooding stuck
i was attacked by someone and i need the police urgently,2,need police police urgently
there is a wild animal nearby and i feel like it might attack,2,animal nearby wild animal
i slipped and injured my back and cannot move,0,slipped injured slipped
the weather is terrible and i am stranded without shelter,1,stranded shelter shelter
my rental car broke down and i am stuck on the highway,1,stuck highway car broke
i need a doctor someone around me is not breathing,0,doctor breathing need doctor
i saw someone collapse on the road and they need immediate help,2,collapse road saw collapse
i have been robbed and need to report it to the authorities,0,report authorities robbed
i am stuck in a storm and i am unable to find safety,1,storm unable stuck storm
my passport and documents are missing i need help urgently,2,documents missing passport documents
i think i was bitten by a poisonous animal and need medical help,2,bitten poisonous poisonous animal
i have been stranded at the train station with no place to go,1,stranded train train station
i feel dizzy and lightheaded and i think i might faint,0,feel dizzy dizzy lightheaded
my bike broke down and i am stuck in an isolated area,1,stuck isolated bike broke
i need help someone is threatening me and i feel unsafe,2,help threatening threatening
i cannot find the nearest hospital and need help urgently,2,nearest hospital hospital need
i am lost in the forest and it is getting dark please send help,2,lost forest getting dark
the lift stopped midway,0,lift stopped stopped midway
