Phrases,spaCy_NER,KeyBERT
a stranger is blocking my way and wont let me pass i feel unsafe,[],"['stranger', 'blocking', 'unsafe', 'pass', 'way']"
i missed the last train and im stuck at the station overnight,[],"['station', 'train', 'overnight', 'stuck', 'missed']"
ive been stung by a bee and i think im having an allergic reaction,[],"['bee', 'allergic', 'stung', 'reaction', 'im']"
theres heavy snow and my car is stuck i cant drive any further,[],"['snow', 'car', 'drive', 'stuck', 'heavy']"
a stranger tried to grab my arm in the park i need someone to help me,[],"['park', 'stranger', 'grab', 'arm', 'help']"
ive been locked inside a shop and theres no way to get out,[],"['locked', 'shop', 'inside', 'way', 'theres']"
the lift stopped midway and im trapped inside with no signal,[],"['lift', 'midway', 'stopped', 'signal', 'trapped']"
a gang of people is blocking the road ahead im scared to go any further,[],"['gang', 'road', 'scared', 'blocking', 'ahead']"
my child fell into a ditch and i cant get them out,[],"['ditch', 'child', 'fell']"
the boat im on is taking on water i need rescue immediately,[],"['boat', 'rescue', 'need', 'water', 'immediately']"
i was pushed down in a crowd and ive lost my phone,[],"['phone', 'crowd', 'pushed', 'lost', 'ive']"
i think im being scammed at this money exchange counter,[],"['scammed', 'exchange', 'counter', 'im', 'money']"
the power went out in this building and im stuck on the top floor,[],"['floor', 'power', 'building', 'stuck', 'went']"
a protest has broken out near me and its getting violent,[],"['protest', 'violent', 'broken', 'near', 'getting']"
ive been bitten by a spider and im not sure if its dangerous,[],"['spider', 'dangerous', 'bitten', 'sure', 'im']"
the train doors closed on me and my luggage is inside,[],"['luggage', 'doors', 'train', 'inside', 'closed']"
the water level is rising rapidly in the river i need to get out of here,[],"['river', 'water', 'rising', 'rapidly', 'level']"
my flight got canceled and i have nowhere to stay tonight,['tonight'],"['canceled', 'flight', 'tonight', 'stay', 'got']"
ive been stuck in this parking lot for hours because my car wont start,['hours'],"['parking', 'start', 'stuck', 'car', 'wont']"
theres a tornado warning and i dont know where the nearest shelter is,[],"['tornado', 'shelter', 'nearest', 'warning', 'theres']"
the mountain path ahead is blocked and i cant find an alternate route,[],"['route', 'mountain', 'path', 'blocked', 'ahead']"
a stranger keeps asking me personal questions i feel uncomfortable,[],"['stranger', 'uncomfortable', 'personal', 'questions', 'asking']"
a dog is chasing me on the street and im terrified,[],"['terrified', 'chasing', 'dog', 'street', 'im']"
my friend wandered off during the festival and i cant find them,[],"['festival', 'wandered', 'friend']"
i think my drink was spiked im feeling drowsy and cant focus,[],"['drink', 'spiked', 'drowsy', 'focus', 'im']"
theres a flood warning and i dont know if its safe to stay here,[],"['flood', 'warning', 'safe', 'stay', 'know']"
the rental car broke down and i dont know who to contact,[],"['rental', 'broke', 'car', 'contact', 'dont']"
im stranded on this highway without food or water,[],"['stranded', 'highway', 'water', 'food', 'im']"
someone banged on my car window and ran away im scared to drive further,[],"['window', 'scared', 'car', 'away', 'drive']"
the tour guide left without me and now im lost in this cave,[],"['cave', 'tour', 'guide', 'lost', 'left']"
im hearing loud gunshots nearby and i dont know where to hide,[],"['gunshots', 'hearing', 'hide', 'nearby', 'loud']"
theres a wildfire nearby and i can see the smoke getting closer,[],"['wildfire', 'smoke', 'nearby', 'closer', 'theres']"
im stuck on this cliffside and i cant climb up or down safely,[],"['cliffside', 'climb', 'stuck', 'safely', 'im']"
the tuktuk driver took my bag and drove off i dont know what to do,['tuktuk'],"['driver', 'bag', 'drove', 'tuktuk', 'took']"
a group of monkeys is surrounding me and trying to snatch my bag,[],"['monkeys', 'bag', 'snatch', 'group', 'surrounding']"
i was hiking and my phone battery just died i dont know the way back,[],"['battery', 'hiking', 'phone', 'died', 'way']"
i was robbed at gunpoint and need urgent police assistance,[],"['robbed', 'gunpoint', 'police', 'assistance', 'urgent']"
the rain is so heavy that i cant see the road ahead,[],"['rain', 'road', 'heavy', 'ahead']"
i slipped on the icy sidewalk and my knee is swelling up fast,[],"['swelling', 'knee', 'icy', 'sidewalk', 'slipped']"
the taxi driver is refusing to stop the car im really scared,[],"['taxi', 'scared', 'refusing', 'driver', 'car']"
im stuck in this parking garage because i cant find the exit,[],"['exit', 'garage', 'parking', 'stuck', 'im']"
a stranger just tried to take my childs hand i need immediate help,[],"['childs', 'stranger', 'hand', 'help', 'need']"
a stranger is chasing me through the streets help,[],"['stranger', 'chasing', 'streets', 'help']"
my phone is dying and im lost in the city need help fast,[],"['phone', 'city', 'need', 'help', 'dying']"
cant find my child in this crowded festival please assist,[],"['festival', 'child', 'crowded', 'assist']"
theres been an accident and someones bleeding heavily,[],"['bleeding', 'accident', 'someones', 'heavily', 'theres']"
my wallet and passport were stolen at the train station,[],"['stolen', 'passport', 'wallet', 'train', 'station']"
cant breathe properly and im feeling faint need assistance,[],"['faint', 'breathe', 'feeling', 'assistance', 'need']"
a fight broke out near me im too scared to move,[],"['fight', 'scared', 'broke', 'near', 'im']"
someone is threatening me with a knife police now,[],"['threatening', 'knife', 'police']"
stranded on a bridge and the current is getting stronger,[],"['bridge', 'current', 'stranded', 'stronger', 'getting']"
my bike tire burst and im stuck in the middle of nowhere,[],"['tire', 'bike', 'burst', 'middle', 'stuck']"
heard gunshots in my area where do i go,[],"['gunshots', 'area', 'heard']"
in an elevator that stopped suddenly claustrophobic help me,[],"['claustrophobic', 'elevator', 'suddenly', 'help', 'stopped']"
fell down the stairs i cant stand on my leg,[],"['fell', 'stairs', 'leg', 'stand']"
someones following me since i left the store feel unsafe,[],"['store', 'unsafe', 'following', 'someones', 'feel']"
landslide ahead blocking the way were all trapped here,[],"['landslide', 'trapped', 'blocking', 'ahead', 'way']"
faint smell of gas in the hostel should we evacuate,[],"['evacuate', 'hostel', 'smell', 'gas', 'faint']"
falling rocks damaged our car during the drive stuck here,[],"['rocks', 'falling', 'damaged', 'car', 'drive']"
aggressive dog cornering me in an alley cant move,[],"['cornering', 'dog', 'alley', 'aggressive']"
flash flood is sweeping cars off the road need help urgently,[],"['flood', 'flash', 'sweeping', 'cars', 'road']"
lost in this forest trail no signs or people around,[],"['trail', 'forest', 'signs', 'lost', 'people']"
friend fainted but i dont know cpr what do i do,[],"['cpr', 'fainted', 'dont', 'friend', 'know']"
boat engine failed and were drifting further into the sea,[],"['boat', 'sea', 'drifting', 'engine', 'failed']"
dark alley feels unsafe a group is blocking the way ahead,['dark alley'],"['alley', 'unsafe', 'dark', 'blocking', 'group']"
stranded at this gas station overnight no staff here,[],"['stranded', 'station', 'gas', 'staff', 'overnight']"
caught in this thunderstorm while kayaking water rising fast,[],"['thunderstorm', 'kayaking', 'water', 'rising', 'fast']"
taxi driver locked the doors and is not stopping help,[],"['taxi', 'driver', 'doors', 'locked', 'stopping']"
my toddler wandered off at the mall where do i go,[],"['mall', 'toddler', 'wandered']"
collapsed bridge ahead our group is stuck on the other side,[],"['bridge', 'collapsed', 'group', 'stuck', 'ahead']"
stuck in a building thats shakingearthquake maybe cant leave,[],"['shakingearthquake', 'building', 'leave', 'stuck', 'thats']"
lost in an underground parking lot its empty and scary here,[],"['underground', 'parking', 'lost', 'scary', 'lot']"
a riot started suddenly shops are being vandalized,[],"['riot', 'vandalized', 'shops', 'suddenly', 'started']"
stepped on something sharp bleeding heavily now need help,[],"['bleeding', 'stepped', 'sharp', 'help', 'need']"
dont recognize this area i think i took the wrong train,[],"['train', 'area', 'recognize', 'took', 'think']"
my hotel is locked up and im stranded outside late at night,['late at night'],"['hotel', 'stranded', 'locked', 'night', 'outside']"
child fell into the lake and cant swim need help urgently,[],"['lake', 'swim', 'child', 'fell', 'need']"
a thief on a bike snatched my bag and sped away what now,[],"['thief', 'bike', 'snatched', 'bag', 'sped']"
someone unconscious on the road after a hitandrun what do i do,[],"['unconscious', 'hitandrun', 'road']"
saw a vehicle crash into a pole people seem trapped inside,[],"['pole', 'crash', 'trapped', 'vehicle', 'people']"
loud shouting and breaking glass in the hallway scared to open my door,[],"['hallway', 'shouting', 'door', 'glass', 'scared']"
fire alarm blaring in this building but i dont see any fire exits,[],"['alarm', 'exits', 'building', 'blaring', 'dont']"
car broke down in the desert and its getting dark,[],"['desert', 'dark', 'car', 'broke', 'getting']"
caught in a blizzard and my group is losing visibility,[],"['blizzard', 'visibility', 'group', 'losing', 'caught']"
witnessed a robbery at the atm not sure what to do now,[],"['robbery', 'witnessed', 'atm', 'sure']"
tour guide lost the way and were stuck in this forest,[],"['forest', 'tour', 'guide', 'lost', 'stuck']"
hotel staff refuses to help me get out of this situation,[],"['hotel', 'staff', 'refuses', 'situation', 'help']"
fell off my bike on this steep trail its hard to get back up,[],"['trail', 'fell', 'bike', 'steep', 'hard']"
electrical fire started in the kitchen cant stop the flames,[],"['flames', 'kitchen', 'electrical', 'stop', 'started']"
the lift started moving down while the doors were open,[],"['lift', 'doors', 'moving', 'open', 'started']"
the riverbank is eroding and im stuck on the other side,[],"['riverbank', 'eroding', 'stuck', 'im']"
a group of men surrounded our car please send help fast,[],"['group', 'men', 'surrounded', 'car', 'send']"
lost the trail markers during this hike completely disoriented,[],"['hike', 'trail', 'markers', 'disoriented', 'lost']"
witnessed a drowning at the beach no lifeguards are nearby,[],"['drowning', 'lifeguards', 'beach', 'witnessed', 'nearby']"
bridge collapsed ahead of us entire area is cut off now,[],"['bridge', 'collapsed', 'cut', 'area', 'entire']"
driver is behaving weirdly and ignoring my stop request,[],"['driver', 'stop', 'ignoring', 'request', 'behaving']"
my raft got stuck on the rocks and the current is strong,[],"['raft', 'current', 'rocks', 'strong', 'stuck']"
snowstorm started and i cant find the way back to the lodge,[],"['snowstorm', 'lodge', 'started', 'way']"
saw smoke rising in the building across is it safe here,[],"['safe', 'smoke', 'building', 'rising', 'saw']"
stranded at the airport due to canceled flights no support staff,[],"['stranded', 'airport', 'flights', 'canceled', 'support']"
wild boar on the trail ahead no idea how to get past it,[],"['boar', 'trail', 'wild', 'ahead', 'past']"
hotel fire exit blocked and theres smoke in the hallway,[],"['hotel', 'hallway', 'smoke', 'exit', 'blocked']"
someone is chasing me pls hlp,[],"['chasing', 'pls', 'hlp']"
sm1s following me need hlp fast,[],"['sm1s', 'hlp', 'fast', 'following', 'need']"
ayuda someone behind me hurry,[],"['ayuda', 'hurry']"
pls help im being chased rn,[],"['chased', 'pls', 'rn', 'help', 'im']"
socorro somebodys chasing me,[],"['socorro', 'chasing', 'somebodys']"
im trapped in the building fire everywhere,[],"['trapped', 'building', 'im']"
stuck inside theres fire send hlp now,[],"['hlp', 'stuck', 'inside', 'send', 'theres']"
incendio cant get out trapped,[],"['incendio', 'trapped']"
i cant escape flames everywhere,[],"['escape', 'flames']"
lost my kid in the market help me find them,[],"['market', 'kid', 'lost', 'help']"
my childs missing pls help,[],"['childs', 'missing', 'pls', 'help']"
niño perdido en el mercado ayuda,"['niño perdido', 'el mercado']","['niño', 'perdido', 'mercado', 'ayuda', 'el']"
kids gone cant see them anywhere,[],"['kids', 'gone']"
theres a man with a knife danger,[],"['knife', 'danger', 'man', 'theres']"
armed man nearby save us,[],"['armed', 'save', 'nearby', 'man']"
knife attack were in danger,[],"['knife', 'attack', 'danger']"
cuidado hombre con cuchillo,[],"['cuidado', 'cuchillo', 'hombre']"
sm1 w knife pls hurry,['w knife'],"['sm1', 'knife', 'pls', 'hurry']"
flood waters rising fast were stuck,[],"['flood', 'waters', 'fast', 'rising', 'stuck']"
flooded road cant move hlp,[],"['flooded', 'hlp', 'road']"
el agua está subiendo ayuda,['el agua'],"['agua', 'está', 'ayuda', 'subiendo', 'el']"
stranded in water urgent hlp,[],"['hlp', 'stranded', 'water', 'urgent']"
i fell i think i broke my leg,[],"['fell', 'leg', 'broke', 'think']"
broken leg cant move send hlp,[],"['leg', 'broken', 'hlp', 'send']"
caí mi pierna duele mucho,[],"['mucho', 'duele', 'pierna', 'caí', 'mi']"
im hurt leg broken pls assist,['leg broken pls'],"['leg', 'assist', 'hurt', 'broken', 'pls']"
my wallets stolen im stranded,[],"['wallets', 'stolen', 'stranded', 'im']"
sm1 took my wallet im stuck,[],"['sm1', 'wallet', 'stuck', 'took', 'im']"
no tengo mi cartera estoy perdido,[],"['perdido', 'tengo', 'estoy', 'cartera', 'mi']"
lost my money need urgent hlp,[],"['hlp', 'urgent', 'need', 'lost', 'money']"
were lost in the jungle cant find the trail,[],"['trail', 'jungle', 'lost']"
lost hiking need direction,[],"['hiking', 'direction', 'lost', 'need']"
perdidos en el bosque ayuda,['el bosque'],"['perdidos', 'ayuda', 'bosque', 'el', 'en']"
disoriented no trail visible pls hlp,[],"['trail', 'disoriented', 'visible', 'hlp', 'pls']"
driver refusing to stop im scared,[],"['driver', 'scared', 'stop', 'refusing', 'im']"
taxi driver wont stop unsafe,[],"['taxi', 'driver', 'unsafe', 'stop', 'wont']"
chofer no para me da miedo,['miedo'],"['miedo', 'chofer', 'para', 'da']"
cab driver acting weird pls assist,['cab driver'],"['cab', 'driver', 'assist', 'acting', 'weird']"
cant swim stuck in the river,[],"['swim', 'river', 'stuck']"
stranded in water drowning,[],"['drowning', 'stranded', 'water']"
socorro estoy en el agua no sé nadar,['el agua'],"['socorro', 'agua', 'el', 'estoy', 'nadar']"
pls hurry im sinking,[],"['sinking', 'hurry', 'pls', 'im']"
theres smoke in the building no way out,[],"['smoke', 'building', 'theres', 'way']"
smoke filling rooms cant escape,[],"['smoke', 'rooms', 'escape', 'filling']"
fuego y humo no hay salida,[],"['salida', 'fuego', 'humo', 'hay']"
pls help trapped w smoke everywhere,[],"['smoke', 'trapped', 'help', 'pls']"
saw a car crash people trapped inside,[],"['crash', 'trapped', 'car', 'inside', 'people']"
accident ppl need help asap,[],"['accident', 'need', 'help', 'ppl', 'asap']"
choque de autos hay heridos,[],"['choque', 'heridos', 'autos', 'hay']"
big crash urgent medical hlp needed,['big crash urgent medical hlp'],"['crash', 'hlp', 'medical', 'urgent', 'big']"
someone fainted we need a medic,[],"['fainted', 'medic', 'need']"
person unconscious cpr needed,[],"['cpr', 'unconscious', 'person', 'needed']"
alguien se desmayó rápido,['alguien se'],"['rápido', 'alguien', 'desmayó', 'se']"
sm1 passed out not waking up,[],"['sm1', 'waking', 'passed']"
im locked in this room cant open the door,[],"['locked', 'door', 'room', 'open', 'im']"
doors jammed stuck inside,[],"['jammed', 'doors', 'stuck', 'inside']"
cerradura rota no puedo salir,"['cerradura rota', 'puedo']","['cerradura', 'rota', 'puedo', 'salir']"
trapped inside need hlp urgently,[],"['hlp', 'urgently', 'trapped', 'inside', 'need']"
snowstorm is blocking the road were stuck,[],"['snowstorm', 'road', 'blocking', 'stuck']"
stuck in blizzard need hlp,[],"['hlp', 'blizzard', 'stuck', 'need']"
tormenta de nieve estamos atrapados,[],"['tormenta', 'estamos', 'atrapados', 'nieve']"
snowed in cant drive send hlp,[],"['snowed', 'drive', 'hlp', 'send']"
gunshots nearby hiding now,[],"['gunshots', 'hiding', 'nearby']"
shots fired too scared to move,[],"['shots', 'scared', 'fired']"
tiros cerca estoy escondido,['tiros cerca estoy'],"['escondido', 'cerca', 'estoy', 'tiros']"
sm1 shooting we need police now,[],"['sm1', 'shooting', 'police', 'need']"
child stuck in the water help now,[],"['child', 'water', 'stuck', 'help']"
my kids drowning hurry up,[],"['drowning', 'kids', 'hurry']"
niño en el agua urgente ayuda,[],"['niño', 'agua', 'ayuda', 'urgente', 'el']"
cant reach my kid pls send hlp,[],"['reach', 'send', 'kid', 'hlp', 'pls']"
aggressive animal blocking the way,[],"['animal', 'aggressive', 'blocking', 'way']"
wild dog cant move forward,[],"['wild', 'dog', 'forward']"
animal salvaje bloqueando el camino,['bloqueando el camino'],"['salvaje', 'camino', 'bloqueando', 'animal', 'el']"
dog attack need assistance,[],"['dog', 'attack', 'assistance', 'need']"
earthquake building shaking hard,[],"['earthquake', 'shaking', 'building', 'hard']"
terremoto el edificio se está moviendo,['terremoto el edificio'],"['edificio', 'terremoto', 'moviendo', 'el', 'está']"
everythings shaking too scared to leave,[],"['shaking', 'scared', 'leave', 'everythings']"
big earthquake stuck indoors,[],"['earthquake', 'indoors', 'stuck', 'big']"
group threatening us were scared,[],"['threatening', 'scared', 'group']"
sm1 threatening my group urgent hlp,[],"['sm1', 'threatening', 'group', 'hlp', 'urgent']"
nos amenazan estamos asustados,[],"['estamos', 'amenazan', 'asustados', 'nos']"
gang nearby need police now,[],"['gang', 'police', 'nearby', 'need']"
faint smell of gas feels unsafe here,[],"['gas', 'smell', 'faint', 'unsafe', 'feels']"
gas leak suspected help us,[],"['leak', 'gas', 'suspected', 'help']"
huele a gas puede ser peligroso,[],"['peligroso', 'gas', 'puede', 'ser', 'huele']"
smelling gas not sure what to do,[],"['smelling', 'gas', 'sure']"
boat sinking water coming in fast,[],"['sinking', 'boat', 'fast', 'water', 'coming']"
sinking boat drowning,[],"['drowning', 'sinking', 'boat']"
barco hundiéndose rápido ayuda,['barco'],"['rápido', 'ayuda', 'barco', 'hundiéndose']"
emergency our boats going down,[],"['boats', 'emergency', 'going']"
car stuck on a flooded bridge,[],"['bridge', 'flooded', 'car', 'stuck']"
water rising car stranded,[],"['stranded', 'water', 'car', 'rising']"
puente inundado estamos atrapados,['inundado estamos'],"['inundado', 'atrapados', 'puente', 'estamos']"
stuck on bridge pls send hlp fast,['hlp'],"['bridge', 'stuck', 'hlp', 'send', 'fast']"
my phones almost dead im lost,[],"['phones', 'dead', 'lost', 'im']"
battery dying im stuck pls help,[],"['battery', 'stuck', 'help', 'dying', 'pls']"
teléfono sin batería perdido,['teléfono sin batería perdido'],"['teléfono', 'batería', 'perdido', 'sin']"
lost no phone batt need hlp fast,[],"['batt', 'hlp', 'phone', 'need', 'fast']"
tourist scammed me im stranded now,[],"['scammed', 'tourist', 'stranded', 'im']"
scammed by locals need police hlp,[],"['scammed', 'hlp', 'locals', 'police', 'need']"
me estafaron estoy sin dinero,[],"['dinero', 'estafaron', 'estoy', 'sin']"
urgent help tourist guide scammed me,[],"['scammed', 'tourist', 'guide', 'urgent', 'help']"
i lost my wallet and my id is missing,[],"['wallet', 'missing', 'id', 'lost']"
my phone was stolen and i need help contacting someone,[],"['phone', 'stolen', 'contacting', 'need', 'help']"
i am stranded on a deserted road with no help in sight,[],"['stranded', 'deserted', 'road', 'sight', 'help']"
i need urgent medical assistance i think i broke my leg,[],"['leg', 'broke', 'assistance', 'medical', 'urgent']"
my friend fainted and is not responding we need a doctor,[],"['fainted', 'doctor', 'need', 'friend', 'responding']"
there is a fire in the building and i cannot find a way out,[],"['building', 'way']"
i feel unsafe someone has been following me for a while,[],"['unsafe', 'following', 'feel']"
i got separated from my group and i am completely lost,[],"['group', 'separated', 'lost', 'got', 'completely']"
my bag with all my belongings was snatched i need help,[],"['belongings', 'bag', 'snatched', 'help', 'need']"
i am in severe pain and cannot walk please send help,[],"['walk', 'pain', 'severe', 'help', 'send']"
my child is missing and i cannot find them anywhere,[],"['missing', 'child']"
i am trapped in an elevator and cannot get out,[],"['elevator', 'trapped']"
there is flooding here and i am stuck on the roof,[],"['roof', 'flooding', 'stuck']"
i was attacked by someone and i need the police urgently,[],"['police', 'attacked', 'need', 'urgently']"
there is a wild animal nearby and i feel like it might attack,[],"['animal', 'attack', 'wild', 'nearby', 'like']"
i slipped and injured my back and cannot move,[],"['slipped', 'injured']"
the weather is terrible and i am stranded without shelter,[],"['shelter', 'stranded', 'weather', 'terrible']"
my rental car broke down and i am stuck on the highway,[],"['highway', 'car', 'broke', 'stuck', 'rental']"
i need a doctor someone around me is not breathing,[],"['breathing', 'doctor', 'need']"
i saw someone collapse on the road and they need immediate help,[],"['collapse', 'road', 'need', 'immediate', 'help']"
i have been robbed and need to report it to the authorities,[],"['robbed', 'authorities', 'report', 'need']"
i am stuck in a storm and i am unable to find safety,[],"['storm', 'safety', 'stuck', 'unable']"
my passport and documents are missing i need help urgently,[],"['passport', 'documents', 'missing', 'urgently', 'need']"
i think i was bitten by a poisonous animal and need medical help,[],"['poisonous', 'bitten', 'animal', 'medical', 'help']"
i have been stranded at the train station with no place to go,[],"['stranded', 'train', 'station', 'place']"
i feel dizzy and lightheaded and i think i might faint,[],"['faint', 'dizzy', 'lightheaded', 'feel', 'think']"
my bike broke down and i am stuck in an isolated area,[],"['isolated', 'bike', 'area', 'broke', 'stuck']"
i need help someone is threatening me and i feel unsafe,[],"['threatening', 'unsafe', 'help', 'need', 'feel']"
i cannot find the nearest hospital and need help urgently,[],"['hospital', 'urgently', 'nearest', 'need', 'help']"
i am lost in the forest and it is getting dark please send help,[],"['forest', 'dark', 'help', 'lost', 'send']"
the taxi driver is taking a different route and i dont feel safe,[],"['taxi', 'route', 'driver', 'safe', 'taking']"
im stuck in a subway station and theres no staff around to help me,[],"['subway', 'station', 'staff', 'stuck', 'help']"
someone is aggressively knocking on my hotel door im scared,[],"['knocking', 'door', 'aggressively', 'hotel', 'scared']"
the ferry left without me and now im stranded on the island,[],"['ferry', 'stranded', 'island', 'left', 'im']"
i can see a huge fire in the distance but i dont know if its safe to stay here,[],"['safe', 'distance', 'stay', 'know', 'huge']"
theres been a landslide and im trapped on this hiking trail,[],"['hiking', 'landslide', 'trail', 'trapped', 'im']"
i feel disoriented after a bad fall i dont know where i am,[],"['disoriented', 'fall', 'feel', 'bad', 'dont']"
ive lost my medication and i need a pharmacy urgently,[],"['pharmacy', 'medication', 'urgently', 'need', 'lost']"
a stranger is blocking my way and wont let me pass i feel unsafe,[],"['stranger', 'blocking', 'unsafe', 'pass', 'way']"
i missed the last train and im stuck at the station overnight,[],"['station', 'train', 'overnight', 'stuck', 'missed']"
ive been stung by a bee and i think im having an allergic reaction,[],"['bee', 'allergic', 'stung', 'reaction', 'im']"
theres heavy snow and my car is stuck i cant drive any further,[],"['snow', 'car', 'drive', 'stuck', 'heavy']"
a stranger tried to grab my arm in the park i need someone to help me,[],"['park', 'stranger', 'grab', 'arm', 'help']"
ive been locked inside a shop and theres no way to get out,[],"['locked', 'shop', 'inside', 'way', 'theres']"
the lift stopped midway,[],"['midway', 'lift', 'stopped']"
